gene	biotype	chr	start	end	strand
MED17	protein_coding	11	93784227	93814963	+
RETSAT	protein_coding	2	85342088	85354620	-
CAPG	protein_coding	2	85394748	85418432	-
AP2S1	protein_coding	19	46838136	46850992	-
USH2A	protein_coding	1	215622894	216423396	-
ZPBP	protein_coding	7	49850421	50121329	-
TG	protein_coding	8	132866958	133134903	+
ADAM28	protein_coding	8	24294040	24359018	+
BARX2	protein_coding	11	129375940	129452279	+
DCUN1D1	protein_coding	3	182938074	182985953	-
JADE2	protein_coding	5	134524312	134583230	+
ZIC2	protein_coding	13	99981772	99986773	+
LCP2	protein_coding	5	170246237	170298227	-
TRIT1	protein_coding	1	39841022	39883511	-
ADRB1	protein_coding	10	114044056	114046908	+
GUCA2B	protein_coding	1	42153421	42155824	+
CUL7	protein_coding	6	43037617	43053945	-
CTNNA1	protein_coding	5	138610967	138935034	+
PHKA2	protein_coding	X	18892300	18984598	-
CNTLN	protein_coding	9	17134982	17503923	+
EPHA3	protein_coding	3	89107524	89482134	+
HSPA5	protein_coding	9	125234853	125241330	-
DSG2	protein_coding	18	31498043	31549008	+
GEMIN8	protein_coding	X	14008279	14029893	-
OFD1	protein_coding	X	13734745	13769353	+
GPM6B	protein_coding	X	13771031	13938638	-
MAGEC2	protein_coding	X	142202345	142205290	-
PREX2	protein_coding	8	67952118	68237030	+
WDR37	protein_coding	10	1049538	1132297	+
YTHDC2	protein_coding	5	113513683	113595285	+
CTPS2	protein_coding	X	16588003	16712936	-
ATP6V1H	protein_coding	8	53715557	53843558	-
POLR2B	protein_coding	4	56977722	57031168	+
FAM214A	protein_coding	15	52581317	52709817	-
ARAP2	protein_coding	4	35948221	36244509	-
TPR	protein_coding	1	186311652	186375693	-
CP	protein_coding	3	149162410	149222055	-
KIAA0556	protein_coding	16	27550133	27780369	+
DTNBP1	protein_coding	6	15522801	15663058	-
XK	protein_coding	X	37685756	37732130	+
ANO2	protein_coding	12	5531869	5946232	-
C12orf4	protein_coding	12	4487728	4538508	-
SCML1	protein_coding	X	17737449	17754988	+
WWC3	protein_coding	X	10015562	10144478	+
ARHGAP6	protein_coding	X	11137543	11665701	-
FAM184B	protein_coding	4	17629306	17781512	-
MAP4	protein_coding	3	47850690	48089272	-
GOPC	protein_coding	6	117560269	117602542	-
ROS1	protein_coding	6	117288300	117425855	-
USP28	protein_coding	11	113797874	113875570	-
HDAC9	protein_coding	7	18086949	19002416	+
TSPAN17	protein_coding	5	176647387	176659054	+
NOP16	protein_coding	5	176383938	176388975	-
CC2D2A	protein_coding	4	15469865	15601557	+
RRM2B	protein_coding	8	102204502	102239118	-
ZNF800	protein_coding	7	127346790	127431924	-
TNFRSF17	protein_coding	16	11965107	11968068	+
SNX29	protein_coding	16	11976737	12574289	+
LMO3	protein_coding	12	16548373	16610594	-
MRPS10	protein_coding	6	42206801	42217865	-
GUCA1A	protein_coding	6	42155406	42180056	+
RSF1	protein_coding	11	77659996	77821017	-
VPS13D	protein_coding	1	12230032	12512047	+
CELF2	protein_coding	10	10798397	11336675	+
FAM120A	protein_coding	9	93451722	93566107	+
R3HDM1	protein_coding	2	135531455	135725270	+
COL9A2	protein_coding	1	40300487	40317813	-
KITLG	protein_coding	12	88492793	88580851	-
ERCC8	protein_coding	5	60873831	60945073	-
ADAMTS6	protein_coding	5	65148736	65481920	-
H6PD	protein_coding	1	9234775	9271337	+
VAMP3	protein_coding	1	7771269	7781432	+
PER3	protein_coding	1	7784320	7845177	+
UTS2	protein_coding	1	7843083	7853512	-
TNFRSF9	protein_coding	1	7915894	7943165	-
EPN3	protein_coding	17	50532543	50543750	+
LTBP1	protein_coding	2	32946972	33399509	+
RCN1	protein_coding	11	32090904	32105755	+
ELN	protein_coding	7	74027789	74069907	+
RFC2	protein_coding	7	74231499	74254458	-
ARID1B	protein_coding	6	156777374	157210779	+
CLPTM1L	protein_coding	5	1317744	1345099	-
NEDD4L	protein_coding	18	58044367	58401540	+
FOXP3	protein_coding	X	49250436	49264826	-
PPP1R3F	protein_coding	X	49269843	49301461	+
HEXB	protein_coding	5	74640023	74722647	+
PTCD2	protein_coding	5	72320367	72368395	+
NEXMIF	protein_coding	X	74732856	74925485	-
JKAMP	protein_coding	14	59484443	59505410	+
DKK3	protein_coding	11	11963106	12009769	-
ARHGEF5	protein_coding	7	144355288	144380632	+
NFE2L3	protein_coding	7	26152240	26187125	+
MCUR1	protein_coding	6	13786557	13814568	-
LIMA1	protein_coding	12	50175788	50283546	-
LETMD1	protein_coding	12	51047962	51060424	+
SLC4A8	protein_coding	12	51391317	51515763	+
LAMC3	protein_coding	9	131009082	131094473	+
PTGER3	protein_coding	1	70852353	71047808	-
TNIP3	protein_coding	4	121131408	121227466	-
MAPK9	protein_coding	5	180233143	180292099	-
COL23A1	protein_coding	5	178237618	178590555	-
BCAR1	protein_coding	16	75228187	75268053	-
FAM160A2	protein_coding	11	6211335	6234711	-
HERPUD1	protein_coding	16	56932048	56944863	+
HOMER3	protein_coding	19	18929201	18941261	-
RAD51	protein_coding	15	40694774	40732339	+
POLQ	protein_coding	3	121431427	121546641	-
PIK3CB	protein_coding	3	138652699	138834938	-
CYBA	protein_coding	16	88643283	88651152	-
THOC3	protein_coding	5	175917873	176034680	-
HEBP2	protein_coding	6	138403531	138422197	+
MPHOSPH9	protein_coding	12	123152320	123244014	-
PLEKHA5	protein_coding	12	19129752	19376400	+
PRSS8	protein_coding	16	31131433	31135762	-
SIKE1	protein_coding	1	114769479	114780685	-
RRP12	protein_coding	10	97356358	97426076	-
FNIP2	protein_coding	4	158769138	158908049	+
MSMO1	protein_coding	4	165327623	165343160	+
TTC17	protein_coding	11	43358932	43494933	+
ALX4	protein_coding	11	44260444	44310166	-
FSTL4	protein_coding	5	133196455	133612564	-
FOXN3	protein_coding	14	89124871	89619149	-
METTL24	protein_coding	6	110245928	110358272	-
AKR7A2	protein_coding	1	19303965	19312146	-
MRTO4	protein_coding	1	19251539	19260128	+
NNAT	protein_coding	20	37521215	37523693	+
USE1	protein_coding	19	17215346	17219829	+
MCF2L2	protein_coding	3	183178043	183428778	-
NRIP2	protein_coding	12	2825348	2835544	-
LAMA3	protein_coding	18	23689443	23955066	+
AP5M1	protein_coding	14	57268909	57298742	+
ANAPC4	protein_coding	4	25377213	25418498	+
KCNQ1	protein_coding	11	2444684	2849110	+
TRAPPC3	protein_coding	1	36136570	36156053	-
THRAP3	protein_coding	1	36224416	36305357	+
PHPT1	protein_coding	9	136848724	136851027	+
ENTPD2	protein_coding	9	137048098	137054045	-
LY75	protein_coding	2	159803355	159904749	-
ARID4B	protein_coding	1	235131634	235328219	-
OPN3	protein_coding	1	241590102	241677376	-
SDCCAG8	protein_coding	1	243256034	243500092	+
PTPRN	protein_coding	2	219289623	219309648	-
HHAT	protein_coding	1	210328252	210676296	+
KIF1B	protein_coding	1	10210805	10381603	+
FOXC1	protein_coding	6	1609972	1613897	+
TBC1D22A	protein_coding	22	46762617	47175699	+
SYNE2	protein_coding	14	63852983	64226433	+
PLEKHH1	protein_coding	14	67533301	67589612	+
ATP9A	protein_coding	20	51596514	51768634	-
SPO11	protein_coding	20	57329759	57343994	+
CBLN4	protein_coding	20	55997440	56005472	-
CHRDL2	protein_coding	11	74696429	74731385	-
FAM168A	protein_coding	11	73400487	73598189	-
RELT	protein_coding	11	73376264	73397474	+
GALC	protein_coding	14	87837820	87993665	-
NOP58	protein_coding	2	202265716	202303666	+
SZRD1	protein_coding	1	16352575	16398145	+
KCNH2	protein_coding	7	150944961	150978315	-
CUL1	protein_coding	7	148697914	148801036	+
FAM114A2	protein_coding	5	153990128	154038936	-
CYFIP2	protein_coding	5	157266079	157395595	+
TAB2	protein_coding	6	149218641	149411613	+
GINM1	protein_coding	6	149566294	149591748	+
EIF2AK2	protein_coding	2	37099210	37157065	-
USP36	protein_coding	17	78787381	78841441	-
KMT2C	protein_coding	7	152134922	152436005	-
MCOLN3	protein_coding	1	85018082	85048499	-
CCDC85A	protein_coding	2	56184123	56386173	+
PUM2	protein_coding	2	20248691	20352234	-
MRPL43	protein_coding	10	100969458	100987515	-
ITIH4	protein_coding	3	52812975	52831479	-
ITIH1	protein_coding	3	52777592	52792068	+
HPF1	protein_coding	4	169729465	169757953	-
ZFR	protein_coding	5	32354350	32444761	-
ZNF280C	protein_coding	X	130202711	130268899	-
NPFFR2	protein_coding	4	72031804	72148067	+
PHF21B	protein_coding	22	44881162	45009999	-
TRAF1	protein_coding	9	120902393	120929173	-
RC3H2	protein_coding	9	122844556	122905341	-
IL17RB	protein_coding	3	53846580	53865800	+
TRAF3IP2	protein_coding	6	111556454	111606278	-
GYG2	protein_coding	X	2828788	2882820	+
DCBLD2	protein_coding	3	98795941	98901689	-
SERPINB3	protein_coding	18	63655197	63661963	-
SOAT1	protein_coding	1	179293714	179358680	+
PKP2	protein_coding	12	32790745	32896840	-
MSH4	protein_coding	1	75796882	75913238	+
F7	protein_coding	13	113105788	113120681	+
GDI2	protein_coding	10	5765223	5842132	-
PRDM1	protein_coding	6	106086320	106109939	+
ATG5	protein_coding	6	106045423	106325791	-
TMCC3	protein_coding	12	94567124	94650562	-
PITHD1	protein_coding	1	23778405	23788232	+
MTA3	protein_coding	2	42494569	42756947	+
USP13	protein_coding	3	179652755	179789401	+
ATP11B	protein_coding	3	182793500	182921635	+
LAMC2	protein_coding	1	183186238	183244900	+
CDK14	protein_coding	7	90466424	91210590	+
SEC61A1	protein_coding	3	128051641	128071683	+
PPP1R12A	protein_coding	12	79773563	79935460	-
RASGRF1	protein_coding	15	78959947	79090773	-
CAMK2B	protein_coding	7	44217150	44334577	-
CROCC	protein_coding	1	16740273	16972979	+
POLR3E	protein_coding	16	22297375	22335103	+
ATP2B4	protein_coding	1	203626561	203744081	+
ZC3H11A	protein_coding	1	203795654	203854999	+
RIOK2	protein_coding	5	97160867	97183260	-
YIPF1	protein_coding	1	53851719	53889834	-
NDC1	protein_coding	1	53765460	53838860	-
DGKG	protein_coding	3	186105668	186362237	-
FLYWCH1	protein_coding	16	2911937	2951208	+
UNKL	protein_coding	16	1363205	1414751	-
TBXAS1	protein_coding	7	139777051	140020325	+
PARP12	protein_coding	7	140023744	140063721	-
ALDH18A1	protein_coding	10	95605929	95656706	-
TARBP1	protein_coding	1	234391313	234479103	-
GATB	protein_coding	4	151670504	151761023	-
MXD1	protein_coding	2	69897688	69942945	+
CDK17	protein_coding	12	96278261	96400560	-
DNAJC25	protein_coding	9	111631352	111654351	+
SLC2A3	protein_coding	12	7919230	7936275	-
PSD	protein_coding	10	102402617	102421539	-
CTDP1	protein_coding	18	79679801	79756623	+
YBX3	protein_coding	12	10699089	10723312	-
STYK1	protein_coding	12	10618939	10674318	-
WNK1	protein_coding	12	752593	911452	+
RPS17P5	processed_pseudogene	6	50857255	50857662	-
CCAR1	protein_coding	10	68721012	68792377	+
OGFR	protein_coding	20	62804835	62814000	+
GNA15	protein_coding	19	3136193	3163769	+
CREB3L3	protein_coding	19	4153601	4173054	+
PIGV	protein_coding	1	26787472	26798398	+
PTPRU	protein_coding	1	29236516	29326813	+
SNRNP40	protein_coding	1	31259568	31296782	-
RIMBP2	protein_coding	12	130396137	130716281	-
COL11A1	protein_coding	1	102876467	103108872	-
QSER1	protein_coding	11	32893178	32993316	+
MPC1	protein_coding	6	166364919	166383013	-
ACAA1	protein_coding	3	38103129	38137242	-
BCAT1	protein_coding	12	24810022	24949459	-
HDAC7	protein_coding	12	47782722	47833132	-
LZTS1	protein_coding	8	20246165	20303963	-
PRDM6	protein_coding	5	123089121	123194266	+
WNT8A	protein_coding	5	138083892	138092365	+
SPAG4	protein_coding	20	35615892	35621049	+
NCKAP1	protein_coding	2	182909115	183038858	-
MRPS35	protein_coding	12	27710773	27756295	+
GUCY1B1	protein_coding	4	155758992	155807591	+
SFSWAP	protein_coding	12	131711081	131799737	+
TNK2	protein_coding	3	195863364	195911945	-
MON2	protein_coding	12	62466817	62600479	+
CDH3	protein_coding	16	68636189	68722616	+
ARSF	protein_coding	X	3041471	3112726	+
GPBP1	protein_coding	5	57173948	57264679	+
DGAT2	protein_coding	11	75759512	75801535	+
ZNF112	protein_coding	19	44326555	44367217	-
CS	protein_coding	12	56271699	56300392	-
LTK	protein_coding	15	41503638	41513887	-
MRPS24	protein_coding	7	43866558	43869893	-
ELMO2	protein_coding	20	46366049	46432985	-
WAPL	protein_coding	10	86435256	86521815	-
VMP1	protein_coding	17	59707192	59842255	+
APPBP2	protein_coding	17	60443149	60526219	-
POLD1	protein_coding	19	50384204	50418016	+
SEZ6	protein_coding	17	28954901	29006440	-
EIF4B	protein_coding	12	53006158	53042209	+
SLC6A16	protein_coding	19	49289638	49325225	-
BICRA	protein_coding	19	47608196	47703277	+
SPHK2	protein_coding	19	48619291	48630717	+
RPL18	protein_coding	19	48615328	48619536	-
CA11	protein_coding	19	48637942	48646312	-
ISOC2	protein_coding	19	55452985	55462343	-
U2AF2	protein_coding	19	55654146	55674715	+
EPN1	protein_coding	19	55675226	55709858	+
MED29	protein_coding	19	39391303	39400637	+
AHRR	protein_coding	5	304176	438291	+
GSC2	protein_coding	22	19148576	19150283	-
ZNF275	protein_coding	X	153334155	153360110	+
MTMR1	protein_coding	X	150692971	150765103	+
GPC1	protein_coding	2	240435671	240468078	+
ADCK1	protein_coding	14	77800083	77935012	+
HAGH	protein_coding	16	1795620	1827194	-
RNF4	protein_coding	4	2462220	2625320	+
CASP8	protein_coding	2	201233443	201287711	+
LIMCH1	protein_coding	4	41359607	41700044	+
INTS13	protein_coding	12	26905181	26938326	-
TM7SF3	protein_coding	12	26973195	27014434	-
DLX3	protein_coding	17	49990005	49995224	-
SPA17	protein_coding	11	124673798	124697518	+
TSPAN32	protein_coding	11	2301997	2318200	+
WISP2	protein_coding	20	44714844	44728509	+
DMRT3	protein_coding	9	976964	991731	+
ST3GAL6	protein_coding	3	98732236	98821201	+
ATP2C2	protein_coding	16	84368527	84464187	+
NGFR	protein_coding	17	49495293	49515017	+
CDON	protein_coding	11	125955796	126063335	-
TAF2	protein_coding	8	119730775	119832863	-
HIPK2	protein_coding	7	139561570	139777778	-
TNPO3	protein_coding	7	128954180	129055173	-
BORCS8-MEF2B	protein_coding	19	19145567	19192158	-
RFXANK	protein_coding	19	19192229	19201869	+
TMEM161A	protein_coding	19	19119169	19138513	-
LPAR2	protein_coding	19	19623668	19628930	-
CTSA	protein_coding	20	45890144	45898820	+
SUGP2	protein_coding	19	18990888	19034023	-
SLC12A2	protein_coding	5	128083766	128189688	+
SNX24	protein_coding	5	122843439	123029354	+
EYA2	protein_coding	20	46894624	47188844	+
CNN2	protein_coding	19	1026581	1039068	+
ABCA7	protein_coding	19	1040101	1065572	+
SNCAIP	protein_coding	5	122311354	122464219	+
DDX20	protein_coding	1	111755245	111768016	+
BTBD1	protein_coding	15	83016422	83067354	-
FAR2	protein_coding	12	29149103	29340980	+
BCAS1	protein_coding	20	53936777	54070594	-
POU1F1	protein_coding	3	87259404	87276587	-
CHI3L2	protein_coding	1	111200771	111243440	+
SBNO2	protein_coding	19	1107636	1174283	-
PMS1	protein_coding	2	189784085	189877629	+
HMG20B	protein_coding	19	3572777	3579088	+
CALCRL	protein_coding	2	187343129	187448460	-
TAF11	protein_coding	6	34877778	34888089	-
ANKS1A	protein_coding	6	34889265	35091413	+
AP3D1	protein_coding	19	2100988	2164468	-
ZNF76	protein_coding	6	35258909	35295985	+
SLC9A3R2	protein_coding	16	2025356	2039026	+
NTHL1	protein_coding	16	2039815	2047866	-
UHRF1BP1	protein_coding	6	34792015	34883138	+
GNAI3	protein_coding	1	109548611	109618321	+
IPO5	protein_coding	13	97953658	98024297	+
OAT	protein_coding	10	124397303	124418976	-
WDR3	protein_coding	1	117929720	117966542	+
PKN2	protein_coding	1	88684222	88836255	+
WDR18	protein_coding	19	984271	998438	+
TRAM2	protein_coding	6	52497402	52576915	-
NTN1	protein_coding	17	9021542	9244000	+
GLP2R	protein_coding	17	9822206	9892102	+
MCM10	protein_coding	10	13161554	13211104	+
DGKA	protein_coding	12	55927319	55954027	+
ERBB3	protein_coding	12	56076799	56103505	+
ROPN1	protein_coding	3	123968521	123992178	-
ANKRD44	protein_coding	2	196967017	197311173	-
KARS	protein_coding	16	75627474	75648643	-
ADAT1	protein_coding	16	75596981	75623300	-
PDIA5	protein_coding	3	123067062	123225227	+
TBC1D22B	protein_coding	6	37257772	37332970	+
NDUFB4	protein_coding	3	120596309	120602500	+
SPEN	protein_coding	1	15847864	15940460	+
MYLK	protein_coding	3	123610049	123884331	-
ZC3H15	protein_coding	2	186486156	186509363	+
MAP2K4	protein_coding	17	12020824	12143830	+
TMEM206	protein_coding	1	212363931	212414901	-
SNAP91	protein_coding	6	83552880	83709691	-
SLK	protein_coding	10	103967201	104029233	+
CYB5R4	protein_coding	6	83859643	83967424	+
COL17A1	protein_coding	10	104031286	104086002	-
GSTO2	protein_coding	10	104268873	104304945	+
SEC61A2	protein_coding	10	12129637	12169961	+
PRKCQ	protein_coding	10	6427143	6580301	-
TLE2	protein_coding	19	2997638	3047635	-
ASB1	protein_coding	2	238426742	238452250	+
FAM107B	protein_coding	10	14518557	14774897	-
ME1	protein_coding	6	83210389	83431071	-
TBC1D1	protein_coding	4	37891087	38139175	+
CDK13	protein_coding	7	39949646	40099580	+
MTHFD2	protein_coding	2	74198562	74217565	+
SLC9A7	protein_coding	X	46599252	46759172	-
FOXJ2	protein_coding	12	8032703	8055503	+
YBX1	protein_coding	1	42682427	42702349	+
PDE4A	protein_coding	19	10416773	10469631	+
PPP2R5A	protein_coding	1	212285537	212361863	+
CTNNA2	protein_coding	2	79185231	80648861	+
ELAVL1	protein_coding	19	7958579	8005659	-
TIE1	protein_coding	1	43300993	43323108	+
DIP2B	protein_coding	12	50504985	50748667	+
SMARCD1	protein_coding	12	50084972	50100712	+
KDM4A	protein_coding	1	43650158	43705515	+
NFYC	protein_coding	1	40691648	40771603	+
ZMYND12	protein_coding	1	42430329	42456267	-
SLC9A3	protein_coding	5	470458	524332	-
NGEF	protein_coding	2	232878686	233013272	-
ASPM	protein_coding	1	197084128	197146694	-
CD84	protein_coding	1	160541095	160579516	-
ELOVL1	protein_coding	1	43363397	43368074	-
SPI1	protein_coding	11	47354860	47378576	-
ZNRD1	protein_coding	6	30058899	30064909	+
MPPED2	protein_coding	11	30384493	30586872	-
CLDN18	protein_coding	3	137998735	138033655	+
ZBTB11	protein_coding	3	101648889	101677495	-
ATXN3	protein_coding	14	92044496	92106625	-
GOLGA5	protein_coding	14	92794231	92839963	+
FGFR2	protein_coding	10	121478334	121598458	-
LRRC40	protein_coding	1	70144805	70205620	-
ISOC1	protein_coding	5	129094751	129114028	+
EML1	protein_coding	14	99737693	99942060	+
TRMT11	protein_coding	6	125986430	126039276	+
THUMPD1	protein_coding	16	20702816	20742084	-
MSANTD3	protein_coding	9	100427156	100451711	+
KIF26A	protein_coding	14	104138723	104180894	+
ATG2B	protein_coding	14	96279202	96363870	-
ARFGEF1	protein_coding	8	67173511	67343677	-
ACSM2B	protein_coding	16	20536226	20576427	-
ZFAT	protein_coding	8	134477788	134713049	-
MTFR1	protein_coding	8	65644734	65771261	+
STAG3	protein_coding	7	100177563	100221488	+
FECH	protein_coding	18	57548283	57586772	-
MYO9A	protein_coding	15	71822289	72118577	-
DDX3Y	protein_coding	Y	12904108	12920478	+
PFKP	protein_coding	10	3066333	3137712	+
IDI1	protein_coding	10	1039152	1049170	-
SP100	protein_coding	2	230415942	230544090	+
KLF6	protein_coding	10	3775996	3785281	-
PLPP1	protein_coding	5	55424854	55535050	-
NEO1	protein_coding	15	73051710	73305206	+
TRAM1	protein_coding	8	70573442	70608387	-
PHKA1	protein_coding	X	72578814	72714319	-
TNFRSF1A	protein_coding	12	6328757	6342114	-
CACNB1	protein_coding	17	39173456	39197703	-
EVI5	protein_coding	1	92508696	92792404	-
STOML1	protein_coding	15	73978923	73994622	-
PKM	protein_coding	15	72199029	72231822	-
DHX29	protein_coding	5	55256245	55307722	-
DNTTIP2	protein_coding	1	93866283	93879918	-
METTL22	protein_coding	16	8621683	8649654	+
TP53BP1	protein_coding	15	43403061	43510728	-
TRO	protein_coding	X	54920462	54931431	+
RRP15	protein_coding	1	218285287	218337983	+
RHOA	protein_coding	3	49359145	49412998	-
DHX8	protein_coding	17	43483865	43544463	+
PMS2P4	transcribed_unprocessed_pseudogene	7	67295608	67302907	-
PRKCZ	protein_coding	1	2050470	2185395	+
ZFY	protein_coding	Y	2935281	2982506	+
IARS2	protein_coding	1	220094102	220148041	+
SYT1	protein_coding	12	78863993	79452008	+
NAV3	protein_coding	12	77324641	78213008	+
IDH3G	protein_coding	X	153785766	153794523	-
ROGDI	protein_coding	16	4796968	4802950	-
